Tipo,Designacion,d,bf,tf,hw,tw,r2,bf/tf,hw/tw,Ag,Peso,Ix,Sx,rx,Qx,Zx,Iy,Sy,ry,Qy,1.5Sy,Zy,ey,ec,w1,d1,w4,t1,t2,J,Cw,X1,X2,xp
UPN,30x15,30.00,15.00,4.50,12.00,4.00,2.00,3.33,3.00,2.21,1.74,2.53,1.69,1.07,-,-,0.38,0.39,0.42,-,-,-,0.52,0.74,10.00,6.40,5.00,3.90,5.10,0.14,-,-,-,
UPN,30,30.00,33.00,7.00,1.00,5.00,3.50,4.71,0.20,5.44,4.27,6.39,4.26,1.08,-,-,5.33,2.68,0.99,-,-,-,1.31,2.22,18.00,8.40,15.00,5.68,8.32,0.82,-,-,-,
UPN,40x20,40.00,20.00,5.50,18.00,5.00,2.50,3.64,3.60,3.66,2.87,7.58,3.79,1.44,-,-,1.14,0.86,0.56,-,-,-,0.67,1.01,11.00,6.40,9.00,4.70,6.30,0.34,-,-,-,
UPN,40,40.00,35.00,7.00,11.00,5.00,3.50,5.00,2.20,6.21,4.87,14.10,7.05,1.50,-,-,6.68,3.08,1.04,-,-,-,1.33,2.32,18.00,11.00,17.00,5.60,8.40,0.91,-,-,-,
UPN,50x25,50.00,25.00,6.00,25.00,5.00,3.00,4.17,5.00,4.92,3.86,16.80,6.73,1.85,-,-,2.49,1.48,0.71,-,-,-,0.81,1.34,16.00,8.40,9.00,5.00,7.00,0.52,-,-,-,
UPN,50,50.00,38.00,7.00,20.00,5.00,3.50,5.43,4.00,7.12,5.59,26.40,10.60,1.92,-,-,3.12,3.75,1.13,-,-,-,1.37,2.47,20.00,11.00,18.00,5.48,8.52,1.02,-,-,-,
UPN,60,60.00,30.00,6.00,35.00,6.00,3.00,5.00,5.83,6.46,5.07,31.60,10.50,2.21,-,-,4.51,2.16,0.84,-,-,-,0.91,1.50,18.00,8.40,12.00,4.80,7.20,0.78,-,-,-,
UPN,65,65.00,42.00,7.50,33.00,5.50,4.00,5.60,6.00,9.03,7.09,57.50,17.70,2.52,-,-,14.10,5.07,1.25,-,-,-,1.42,2.60,25.00,11.00,17.00,5.82,9.18,1.46,-,-,-,
UPN,80,80.00,45.00,8.00,46.00,6.00,4.00,5.63,7.67,11.00,8.64,106.00,26.50,3.10,15.90,31.80,19.40,6.36,1.33,6.35,9.54,12.08,1.45,2.67,25.00,13.00,20.00,6.20,9.80,2.00,196.54,48818.00,0.12,
UPN,100,100.00,50.00,8.50,64.00,6.00,4.50,5.88,10.70,13.50,10.60,206.00,41.20,3.91,24.50,49.00,29.30,8.49,1.47,8.59,12.70,16.21,1.55,2.93,30.00,13.00,20.00,6.50,10.50,2.64,481.65,40033.00,0.27,
UPN,120,120.00,55.00,9.00,82.00,7.00,4.50,6.11,11.70,17.00,13.40,364.00,60.70,4.62,36.30,72.60,43.20,11.10,1.59,11.61,16.70,21.27,1.60,3.03,30.00,17.00,25.00,6.80,11.20,3.84,1039.20,36738.00,0.40,
UPN,140,140.00,60.00,10.00,98.00,7.00,5.00,6.00,14.00,20.40,16.00,605.00,86.40,5.45,51.40,103.00,62.70,14.80,1.75,15.36,22.20,28.32,1.75,3.37,35.00,17.00,25.00,7.60,12.40,5.37,2073.50,33445.00,0.57,
UPN,160,160.00,65.00,10.50,115.00,7.50,5.50,6.19,15.30,24.00,18.80,925.00,116.00,6.21,68.80,138.00,85.30,18.30,1.89,19.37,27.50,35.20,1.84,3.56,35.00,21.00,30.00,7.90,13.10,6.97,3750.30,30779.00,0.82,
UPN,180,180.00,70.00,11.00,133.00,8.00,5.50,6.36,16.60,28.00,22.00,1350.00,150.00,6.95,89.60,179.00,114.00,22.40,2.02,24.04,33.60,43.14,1.92,3.75,40.00,21.00,30.00,8.20,13.80,8.91,6383.50,29063.00,1.07,
UPN,200,200.00,75.00,11.50,151.00,8.50,6.00,6.52,17.80,32.20,25.30,1910.00,191.00,7.70,114.00,228.00,148.00,27.00,2.14,29.41,40.50,51.89,2.01,3.94,40.00,23.00,35.00,8.50,14.30,11.23,10429.00,27479.00,1.37,
UPN,220,220.00,80.00,12.50,167.00,9.00,6.50,6.40,18.60,37.40,29.40,2690.00,245.00,8.48,146.00,292.00,197.00,33.60,2.30,36.38,50.40,64.40,2.14,4.20,45.00,23.00,35.00,9.30,15.70,15.16,16737.00,26823.00,1.49,
UPN,240,240.00,85.00,13.00,184.00,9.50,6.50,6.54,19.40,42.30,33.20,3600.00,300.00,9.22,179.00,358.00,248.00,39.60,2.42,43.30,59.40,76.02,2.23,4.39,45.00,25.00,40.00,9.60,16.40,18.57,25390.00,25785.00,1.79,
